ID,Category,Latitude,Longitude
SLD_09001,Background,14.407409,74.670135
SLD_09002,Background,15.584716,74.738909
SLD_09003,Background,13.718394,75.871473
SLD_09004,Background,13.598796,74.689813
SLD_09005,Background,15.512695,74.0571
SLD_09006,Background,9.561374,77.064775
SLD_09007,Background,8.92925,76.711605
SLD_09008,Background,9.413818,77.560101
SLD_09009,Background,15.801636,73.726035
SLD_09010,Background,14.062869,75.326006
SLD_09011,Background,17.052883,73.338987
SLD_09012,Background,9.423566,77.307666
SLD_09013,Background,18.092265,73.221598
SLD_09014,Background,9.181356,77.274975
SLD_09015,Background,16.8949,73.334155
SLD_09016,Background,16.62605,74.073535
SLD_09017,Background,13.317401,75.20983
SLD_09018,Background,8.758986,77.159625
SLD_09019,Background,15.397341,73.980544
SLD_09020,Background,14.633489,75.232549
SLD_09021,Background,11.326039,76.195442
SLD_09022,Background,8.387268,77.079609
SLD_09023,Background,15.313803,74.979686
SLD_09024,Background,11.308587,75.792916
SLD_09025,Background,15.68865,74.870969
SLD_09026,Background,13.699572,75.45389
SLD_09027,Background,16.908878,74.164721
SLD_09028,Background,10.111652,76.429765
SLD_09029,Background,9.711553,77.019432
SLD_09030,Background,10.810564,76.40418
SLD_09031,Background,18.346866,73.711854
SLD_09032,Background,15.438313,74.540812
SLD_09033,Background,13.972731,74.970121
SLD_09034,Background,14.180682,75.342991
SLD_09035,Background,12.836317,75.276437
SLD_09036,Background,10.002107,77.380555
SLD_09037,Background,9.710006,77.165009
SLD_09038,Background,13.513229,75.517788
SLD_09039,Background,12.287087,76.468118
SLD_09040,Background,17.904438,73.859229
SLD_09041,Background,13.914245,75.082099
SLD_09042,Background,9.275258,77.108401
SLD_09043,Background,13.536229,75.369286
SLD_09044,Background,14.278025,75.153766
SLD_09045,Background,13.267174,75.674487
SLD_09046,Background,15.460676,74.35143
SLD_09047,Background,12.03062,76.474676
SLD_09048,Background,15.302146,74.086521
SLD_09049,Background,10.649915,77.3319
SLD_09050,Background,12.491708,76.265951
SLD_09051,Background,14.367348,74.691839
SLD_09052,Background,12.018936,76.518298
SLD_09053,Background,12.354146,76.125418
SLD_09054,Background,14.462161,74.855715
SLD_09055,Background,10.710928,77.370922
SLD_09056,Background,17.227499,73.234929
SLD_09057,Background,12.713122,76.091604
SLD_09058,Background,12.47806,76.034977
SLD_09059,Background,12.969827,75.059691
SLD_09060,Background,18.34531,74.101441
SLD_09061,Background,10.41324,77.369647
SLD_09062,Background,17.005258,73.520224
SLD_09063,Background,14.604307,74.640256
SLD_09064,Background,17.281662,73.268391
SLD_09065,Background,11.995892,75.891922
SLD_09066,Background,17.297154,73.404591
SLD_09067,Background,17.835793,73.342984
SLD_09068,Background,16.189177,73.564609
SLD_09069,Background,13.498737,75.499133
SLD_09070,Background,11.034506,76.177632
SLD_09071,Background,17.354373,74.07813
SLD_09072,Background,10.49029,76.069878
SLD_09073,Background,9.838221,76.511929
SLD_09074,Background,13.1875,75.671946
SLD_09075,Background,14.608045,75.353628
SLD_09076,Background,14.43918,75.599091
SLD_09077,Background,12.728709,75.423155
SLD_09078,Background,11.034237,76.392503
SLD_09079,Background,16.538023,73.677182
SLD_09080,Background,14.481953,74.67134
SLD_09081,Background,11.625224,76.877362
SLD_09082,Background,17.908782,74.004316
SLD_09083,Background,9.068458,76.978682
SLD_09084,Background,12.977698,75.957198
SLD_09085,Background,15.572327,74.33386
SLD_09086,Background,17.597039,73.331784
SLD_09087,Background,9.600407,77.261061
SLD_09088,Background,15.582889,75.020467
SLD_09089,Background,16.704735,73.843396
SLD_09090,Background,11.391601,76.938836
SLD_09091,Background,17.509289,73.651935
SLD_09092,Background,10.908726,76.281698
SLD_09093,Background,9.777529,77.112957
SLD_09094,Background,9.530598,76.62842
SLD_09095,Background,14.332251,75.565232
SLD_09096,Background,13.743898,75.855128
SLD_09097,Background,14.049717,74.893453
SLD_09098,Background,15.825051,74.305584
SLD_09099,Background,17.259943,73.59625
SLD_09100,Background,9.216921,76.603224
SLD_09101,Background,14.287391,75.207505
SLD_09102,Background,17.025591,74.253445
SLD_09103,Background,11.143941,76.702891
SLD_09104,Background,9.949657,77.573577
SLD_09105,Background,10.506117,77.171945
SLD_09106,Background,17.12581,74.049737
SLD_09107,Background,15.13708,74.103579
SLD_09108,Background,18.22273,72.936845
SLD_09109,Background,12.805895,75.780742
SLD_09110,Background,12.844924,76.126938
SLD_09111,Background,9.357816,76.896562
SLD_09112,Background,9.264032,77.406629
SLD_09113,Background,14.360272,75.514877
SLD_09114,Background,12.74104,75.547883
SLD_09115,Background,17.163038,74.100384
SLD_09116,Background,10.18059,76.64731
SLD_09117,Background,18.448166,73.420905
SLD_09118,Background,17.307059,73.744623
SLD_09119,Background,14.347108,74.746947
SLD_09120,Background,18.019396,73.434422
SLD_09121,Background,18.765762,73.79898
SLD_09122,Background,18.728986,73.111518
SLD_09123,Background,9.402557,76.359005
SLD_09124,Background,9.840055,76.580121
SLD_09125,Background,16.083589,74.777839
SLD_09126,Background,8.754842,77.035741
SLD_09127,Background,11.923084,75.36842
SLD_09128,Background,10.193234,76.903794
SLD_09129,Background,9.996719,77.784701
SLD_09130,Background,18.519237,73.762903
SLD_09131,Background,10.00876,76.409332
SLD_09132,Background,17.517474,73.356788
