ID,Category,Latitude,Longitude
SLD_06001,Landslide,17.351,73.231
SLD_06002,Landslide,17.353667,73.522444
SLD_06003,Landslide,17.355,73.233
SLD_06004,Landslide,17.358597,73.800078
SLD_06005,Landslide,17.363916,73.768661
SLD_06006,Landslide,17.364194,73.769722
SLD_06007,Landslide,17.365002,73.770962
SLD_06008,Landslide,17.365613,73.770527
SLD_06009,Landslide,17.368801,73.771862
SLD_06010,Landslide,17.370596,73.767744
SLD_06011,Landslide,17.371725,73.764206
SLD_06012,Landslide,17.371799,73.765385
SLD_06013,Landslide,17.375,73.881944
SLD_06014,Landslide,17.385345,73.752317
SLD_06015,Landslide,17.388202,73.75695
SLD_06016,Landslide,17.388524,73.757859
SLD_06017,Landslide,17.391556,73.669306
SLD_06018,Landslide,17.391847,73.763345
SLD_06019,Landslide,17.39185,73.960221
SLD_06020,Landslide,17.391926,73.955437
SLD_06021,Landslide,17.392,73.259
SLD_06022,Landslide,17.392385,73.957766
SLD_06023,Landslide,17.392611,73.953371
SLD_06024,Landslide,17.393066,73.952133
SLD_06025,Landslide,17.394833,73.952486
SLD_06026,Landslide,17.396549,73.946969
SLD_06027,Landslide,17.396713,73.967934
SLD_06028,Landslide,17.396996,73.969201
SLD_06029,Landslide,17.397366,73.944734
SLD_06030,Landslide,17.398422,73.910893
SLD_06031,Landslide,17.398597,73.945679
SLD_06032,Landslide,17.398612,73.774227
SLD_06033,Landslide,17.3991,73.785
SLD_06034,Landslide,17.399114,73.96878
SLD_06035,Landslide,17.400618,73.913695
SLD_06036,Landslide,17.401143,73.842384
SLD_06037,Landslide,17.401224,73.968553
SLD_06038,Landslide,17.401528,73.915805
SLD_06039,Landslide,17.402233,73.967812
SLD_06040,Landslide,17.403004,73.920285
SLD_06041,Landslide,17.403671,73.943241
SLD_06042,Landslide,17.404346,73.929592
SLD_06043,Landslide,17.404406,73.943454
SLD_06044,Landslide,17.405728,73.943941
SLD_06045,Landslide,17.407425,73.878925
SLD_06046,Landslide,17.408583,73.669583
SLD_06047,Landslide,17.410392,73.875708
SLD_06048,Landslide,17.410778,73.874505
SLD_06049,Landslide,17.411,73.4
SLD_06050,Landslide,17.411111,73.87386
SLD_06051,Landslide,17.4115,73.668056
SLD_06052,Landslide,17.411694,73.589722
SLD_06053,Landslide,17.420723,73.864727
SLD_06054,Landslide,17.42152,73.864777
SLD_06055,Landslide,17.421722,73.863204
SLD_06056,Landslide,17.421838,73.86441
SLD_06057,Landslide,17.425472,73.671083
SLD_06058,Landslide,17.426778,73.666667
SLD_06059,Landslide,17.426944,73.663611
SLD_06060,Landslide,17.446904,73.9581
SLD_06061,Landslide,17.45366,73.949185
SLD_06062,Landslide,17.458963,73.946767
SLD_06063,Landslide,17.462395,73.853096
SLD_06064,Landslide,17.46517,73.863498
SLD_06065,Landslide,17.465522,73.851204
SLD_06066,Landslide,17.468292,73.933528
SLD_06067,Landslide,17.4686,73.9633
SLD_06068,Landslide,17.469431,73.932147
SLD_06069,Landslide,17.469667,73.670889
SLD_06070,Landslide,17.470807,73.93371
SLD_06071,Landslide,17.472254,73.873112
SLD_06072,Landslide,17.47325,73.934776
SLD_06073,Landslide,17.473398,73.859019
SLD_06074,Landslide,17.473602,73.932178
SLD_06075,Landslide,17.475274,73.875266
SLD_06076,Landslide,17.475533,73.933033
SLD_06077,Landslide,17.475928,73.88097
SLD_06078,Landslide,17.476718,73.932634
SLD_06079,Landslide,17.476886,73.8772
SLD_06080,Landslide,17.477,73.443
SLD_06081,Landslide,17.478139,73.857786
SLD_06082,Landslide,17.478305,73.880142
SLD_06083,Landslide,17.479444,73.886944
SLD_06084,Landslide,17.481667,73.891667
SLD_06085,Landslide,17.482,73.223
SLD_06086,Landslide,17.482846,73.855879
SLD_06087,Landslide,17.484,73.463
SLD_06088,Landslide,17.484711,73.856036
SLD_06089,Landslide,17.486,73.202
SLD_06090,Landslide,17.486292,73.927921
SLD_06091,Landslide,17.4869,73.855475
SLD_06092,Landslide,17.487129,73.929694
SLD_06093,Landslide,17.4873,73.931045
SLD_06094,Landslide,17.487402,73.927309
SLD_06095,Landslide,17.488,73.204
SLD_06096,Landslide,17.489268,73.930062
